gene,protein,r1,r2,p1,p2,Class.pr
ACO1,SSA1,-1.0487882,0.280231953799021,5.04648e-17,0.290026520533077,Study 1 only
ACO1,TDH1,-0.56890983,-0.155824821601787,7.99782e-6,0.316348404252808,Study 1 only
ACO1,TDH2,0.96390317,-0.651372346671014,7.62237e-12,0.103938730838514,Study 1 only
ACO1,TDH3,0.56026496,-0.237077780702521,7.77553e-5,0.255525650287383,Study 1 only
ACO1,YHB1,-0.80720994,-0.217673712838874,7.82338e-13,0.405425516381123,Study 1 only
MDM30,ENO2,-0.064478397,-0.141030537596976,0.878919,0.0206971844530999,No effect
MDM30,FAS1,-0.21995368,-0.274708742284361,0.0211642,0.0081784147140714,No effect
MDM30,FAS2,-0.20917793,-0.237958303281708,0.0200626,0.00325531175148393,No effect
MDM30,RNR2,0.096140386,-0.0466416287814866,0.239612,0.736154004654342,No effect
MDM30,SSA1,-0.017351345,0.426436838291849,0.968418,0.0370937776869863,No effect
MDM30,TDH1,-0.059752047,0.348100680785056,0.905976,0.322387694327891,No effect
MDM30,TDH2,0.091043068,-0.27577959185929,0.837791,0.125314952990748,No effect
MDM30,TDH3,0.23269759,-0.124608021688964,0.54308,0.0893528679869255,No effect
MDM30,YHB1,-0.38552949,-0.272973340549179,0.00788218,0.147643205678115,No effect
YME2,ENO2,0.10260439,-0.0579789028885997,0.999942,0.295291373641291,No effect
YME2,FAS1,0.02125229,-0.0650073736865622,0.999942,0.283798125827746,No effect
YME2,FAS2,-0.039550566,-0.0839594741839278,0.999942,0.0702303578775368,No effect
YME2,RNR2,0.043260503,0.0093633361901766,0.999942,0.95666481269138,No effect
YME2,SSA1,0.066413007,0.15047054148274,0.999942,0.517119275207296,No effect
YME2,TDH1,0.10574512,0.129258009845639,0.999942,0.632454397408087,No effect
YME2,TDH2,0.1836199,-0.0769338282626322,0.999942,0.503982500681025,No effect
YME2,TDH3,0.1017173,-0.0178031906199365,0.999942,0.498697857207786,No effect
YME2,YHB1,0.32486819,-0.0784854497805227,0.999942,0.577700684529873,No effect
PTC5,ENO2,0.12179789,-0.0164934934555276,0.9945,0.611598495475601,No effect
PTC5,FAS1,-0.0049004924,-0.0305734573127978,0.999535,0.465258233746501,No effect
PTC5,FAS2,0.086593568,-0.0124925365814406,0.95448,0.740963919244574,No effect
PTC5,RNR2,-0.06789951,-0.109975754157961,0.95448,0.328466364531034,No effect
PTC5,SSA1,-0.10450038,0.00892070098321796,0.9945,0.940277718658043,No effect
PTC5,TDH1,-0.059800167,-0.144513018403202,0.999535,0.230796497749864,No effect
PTC5,TDH2,0.31529958,-0.308081279883442,0.903893,0.131196135791337,No effect
PTC5,TDH3,-0.04449971,-0.0384956485806995,0.999535,0.806147315967184,No effect
