gene,protein,r1,r2,p1,p2,Class.pr
CCR4,YHB1,0.4778085426217881,1.0722441744263,0.11095874217641984,0.0368917,Study 2 only
FUN30,ENO2,0.20999397782960727,0.0811132424359208,0.8251269356380656,0.910811,No effect
FUN30,FAS1,0.7588197290051361,-0.274677579338643,0.24298334450057105,0.0314944,No effect
FUN30,FAS2,0.7272222701306462,0.0747582708103489,0.5999765098185464,0.68031,No effect
FUN30,HTB2,-0.4101605843907965,0.242991493548567,0.3255936088859354,0.0300832,No effect
FUN30,RNR2,-0.07833166900340983,0.225496247406712,0.899374302359306,0.115963,No effect
FUN30,SSA1,-0.25343612712940367,-0.0328099000431568,0.8277490868548997,0.940676,No effect
FUN30,TDH1,-0.7422405849357211,0.251544360445735,0.4548900234768679,0.53809,No effect
FUN30,TDH2,0.33831675080771856,0.271927947144267,0.6797001942527604,0.546901,No effect
FUN30,TDH3,0.2870313376029002,0.092213171891446,0.8641766070369865,0.917741,No effect
FUN30,YHB1,0.3334867083272169,0.0923148952833866,0.46162464095810496,0.754931,No effect
PSK1,ENO2,0.3899869542202534,-0.12306726655267,0.7177710338091552,0.999262,No effect
PSK1,FAS1,-0.7440980772910354,-0.0142451300103048,0.2562176487407802,0.999262,No effect
PSK1,FAS2,-0.43717223109899284,0.00503582008147218,0.7979540627457498,0.999262,No effect
PSK1,HTB2,0.2688964687460927,0.0209823200745827,0.708496512063014,0.999262,No effect
PSK1,RNR2,0.3905269539791178,-0.0662177977771551,0.6992894791008433,0.999262,No effect
PSK1,SSA1,-0.4999356127539657,0.186508108647299,0.8115077460274575,0.999262,No effect
PSK1,TDH1,-0.48551205746282977,0.0633394344052571,0.6091044331348477,0.999262,No effect
PSK1,TDH2,0.20236487821868554,0.00305034985597963,0.9247091210121432,0.999262,No effect
PSK1,TDH3,-0.16282084582910641,0.261145068219721,0.9010919300405122,0.999262,No effect
PSK1,YHB1,0.13994190043444482,0.0817151634266412,0.8827424650629928,0.999262,No effect
NTG1,ENO2,0.02540554628493835,0.242431464565518,0.9382196337847281,0.917729,No effect
NTG1,FAS1,0.06351389923941463,0.120757757981317,0.89671937872651,0.898641,No effect
NTG1,FAS2,0.16456272361790258,-0.032952279392226,0.9886008371553309,0.978001,No effect
NTG1,HTB2,0.029121207018293682,0.00362650781012678,0.8494354951179548,0.995107,No effect
NTG1,RNR2,-0.26472626872698035,0.0834202607666793,0.8750569206536146,0.971533,No effect
NTG1,SSA1,0.216894109863777,0.106788758384763,0.8511610768673987,0.971533,No effect
NTG1,TDH1,0.12484262561338079,0.240096124684905,0.8151737626176805,0.918106,No effect
NTG1,TDH2,-0.04014253932147966,-0.347926675806534,0.9592047528488279,0.83965,No effect
NTG1,TDH3,-0.6909373125854125,0.248455231128962,0.2640212754193259,0.937027,No effect
NTG1,YHB1,-0.13788009838122606,0.298477585549028,0.9217822573223307,0.694298,No effect
SWC3,ENO2,-0.2658772018053281,-0.0665887741080805,0.8251269356380656,0.69357,No effect
SWC3,FAS1,0.25141739332040397,-0.0968265724154835,0.8992092772273634,0.404573,No effect
SWC3,FAS2,0.32241955311064957,-0.021047485124882,0.8880384847128813,0.881198,No effect
SWC3,HTB2,0.46280328644457247,0.120926585717954,0.5503505210402911,0.0637065,No effect
SWC3,RNR2,-0.17597733702969934,0.0225178461049944,0.899374302359306,0.822159,No effect
SWC3,SSA1,-0.3534805530233731,0.0363126015718908,0.7423378059869873,0.95578,No effect
SWC3,TDH1,-0.179888744118675,0.0372137220377439,0.8317067851880496,0.960757,No effect
SWC3,TDH2,0.06621976351410239,-5.67878460202603e-4,0.957552913083892,0.92112,No effect
SWC3,TDH3,0.11219630931334788,-0.293139450501506,0.9010919300405122,0.0587187,No effect
SWC3,YHB1,0.16085706192668953,-0.357853198397498,0.8981323646314735,0.0557601,No effect
SPO7,ENO2,0.1735597391024655,0.116099045169687,0.8013717930236003,0.935529,No effect
SPO7,FAS1,-0.05165406045503464,-0.112381541780788,0.89671937872651,0.626593,No effect
SPO7,FAS2,0.045571758011722564,-0.0651893091484955,0.9957617939713213,0.842221,No effect
