gene,protein,r1,r2,p1,p2,Class.pr
RGT1,FAS2,-0.069236931,-0.353321500462571,0.722403,0.166405470494554,No effect
RGT1,HTB2,-2.1497758e-4,-0.480452851470693,0.999573,0.00245430125560117,No effect
RGT1,RNR2,0.063917054,-0.0141336403792713,0.652426,0.977275803402397,No effect
RGT1,SSA1,-0.055213503,0.10684079005438,0.946994,0.847567312350206,No effect
RGT1,TDH1,-0.068226186,-0.149529110147546,0.941927,0.784650883418774,No effect
RGT1,TDH2,0.31242122,-0.546445989740041,0.501054,0.00701249584411978,Study 2 only
RGT1,TDH3,0.12685395,-0.233095310495068,0.865925,0.197425178812402,No effect
RGT1,YHB1,0.33448819,-0.458599600615432,0.0748158,0.0200792912493997,No effect
IXR1,ENO2,-0.82679068,0.307828996547858,4.87322e-10,0.110618109387583,Study 1 only
IXR1,FAS1,0.035553533,0.320122785941458,0.737698,0.322181600899464,No effect
IXR1,FAS2,0.11714977,-0.26259112476565,0.0917043,0.291937963449027,No effect
IXR1,HTB2,0.18110255,0.364242038391698,0.00420112,0.260839896297442,No effect
IXR1,RNR2,-0.22438809,-0.0130504624069952,2.81223e-4,0.967839688580153,No effect
IXR1,SSA1,-0.11217374,0.0526040432119865,0.574515,0.909638349333701,No effect
IXR1,TDH1,0.33012237,-0.230432362701905,0.0355865,0.326754084626046,No effect
IXR1,TDH2,-0.072159663,0.395437490169073,0.78279,0.163051784475573,No effect
IXR1,TDH3,0.0077552446,-4.02471338346913,0.981258,1.40423614446217e-70,Study 2 only
IXR1,YHB1,-1.879733,-0.244335534051198,0,0.566725753272465,Study 1 only
SPT23,ENO2,-0.10462137,0.0807441354857621,0.739153,0.808042803891946,No effect
SPT23,FAS1,-0.28979551,-0.0345422825427533,3.69015e-5,0.954889952970795,No effect
SPT23,FAS2,-0.33597234,-0.0435982289007804,4.88646e-8,0.92234570045399,No effect
SPT23,HTB2,0.081298719,0.179009342591357,0.430695,0.683273341681349,No effect
SPT23,RNR2,0.034877738,-0.109169156496687,0.813346,0.585936117482164,No effect
SPT23,SSA1,0.15255987,-0.11647166238028,0.534488,0.75758387219225,No effect
SPT23,TDH1,0.11893111,-0.0852109541676464,0.692196,0.805923429190026,No effect
SPT23,TDH2,0.13160265,0.0509315748979924,0.687895,0.927807287278172,No effect
SPT23,TDH3,0.043400504,0.420125652889873,0.924328,0.0732226344770463,No effect
SPT23,YHB1,-0.28316534,-0.116493568552225,0.096775,0.833256625274967,No effect
PUT3,ENO2,-0.1979673,-0.150781288278608,0.641084,0.701655344039247,No effect
PUT3,FAS1,-0.12031148,-0.36475542293513,0.508905,0.0329614787290932,No effect
PUT3,FAS2,-0.092912442,-0.37144460134921,0.601419,0.1400997925685,No effect
PUT3,HTB2,0.010894391,-0.442203523091398,0.972645,0.00525257028290265,No effect
PUT3,RNR2,-0.022092938,-0.109398963656257,0.936908,0.755101054151408,No effect
PUT3,SSA1,0.3251446,0.150759215597668,0.340589,0.764273810164798,No effect
PUT3,TDH1,-0.27711085,-0.0793523567773685,0.462742,0.901438935443238,No effect
PUT3,TDH2,0.062121712,-0.493409271077158,0.921418,0.0154285925110023,No effect
PUT3,TDH3,-0.047253442,-0.238833879874793,0.94846,0.183213515539777,No effect
PUT3,YHB1,-0.60345467,-0.393374145060527,0.0239539,0.0512064452024581,Study 1 only
DAL80,ENO2,-0.35333594,0.0652425992426676,0.0835754,0.853367109260669,No effect
DAL80,FAS1,-0.14738745,0.149098295887304,0.129102,0.736001426839528,No effect
DAL80,FAS2,-0.070678617,0.0323803913076891,0.552307,0.944979120891096,No effect
DAL80,HTB2,0.10050676,0.150123956310141,0.330843,0.747816794340144,No effect
DAL80,RNR2,-0.0022668111,0.0219100531280061,0.993949,0.943186937278545,No effect
DAL80,SSA1,-0.25009165,0.100769778482891,0.24894,0.799210031399211,No effect
DAL80,TDH1,-0.19919906,-0.0998410954790319,0.437972,0.761659256072023,No effect
DAL80,TDH2,-0.034046572,0.292083612345098,0.955126,0.37003678975001,No effect
DAL80,TDH3,-0.010776686,0.352129220706606,0.987664,0.164326200761738,No effect
DAL80,YHB1,0.17587585,0.149035632759588,0.433526,0.771338540996185,No effect
CAF4,ENO2,-0.066120727,0.204511923276325,0.970317,0.383554632022245,No effect
CAF4,FAS1,-0.03880936,0.00723661986471921,0.929488,0.991473975243394,No effect
CAF4,FAS2,0.0074538714,-0.15617389045469,0.991521,0.620736083483009,No effect
CAF4,HTB2,0.056444801,-0.269335784721461,0.905989,0.472471340926014,No effect
CAF4,RNR2,0.0088597414,-0.0141456317343541,0.984749,0.965193502321372,No effect
