ORF,Name,YEPD_mean,YEPD_error,YEPD_cv,YEPD_dm,YEPD_note,SD_mean,SD_error,SD_cv,SD_dm,SD_note
YMR270C,RRN9,,,,,Abundance Low,,,,,Abundance Low
YMR271C,URA10,,,,,Abundance Low,,,,,Abundance Low
YMR272C,SCS7,192.5,23.70480329,22,1.966618095,,243.5,27.0284222,14.885,-0.164133146,
YMR273C,ZDS1,,,,,Abundance Low,,,,,Abundance Low
YMR275C,BUL1,,,,,Abundance Low,,,,,Abundance Low
YMR276W,DSK2,154.5,23.01001914,20.115,-0.960522009,,60.5,22.861091,17.5,-1.03166347,
YMR277W,FCP1,149.5,22.92028067,18.29,-2.834078529,,100.5,23.40722761,16.45,-0.913755912,
YMR278W,,207,23.98182716,24.625,4.843336545,,250.5,27.007242,17.605,2.618372825,
YMR280C,CAT8,,,,,Abundance Low,,,,,Abundance Low
YMR281W,GPI12,,,,,Abundance Low,,,,,Abundance Low
YMR282C,AEP2,,,,,Abundance Low,,,,,Abundance Low
YMR283C,RIT1,,,,,Abundance Low,,,,,Abundance Low
YMR284W,YKU70,,,,,Abundance Low,,,,,Abundance Low
YMR285C,NGL2,48,21.371242,,,,,,,,Abundance Low
YMR286W,MRPL33,107.5,22.2244478,23.875,0.368106903,,189.7544463,24.52049297,15.325,-0.027412795,
YMR287C,MSU1,,,,,Abundance Low,,,,,Abundance Low
YMR288W,HSH155,,,,,Abundance Low,,,,,Abundance Low
YMR289W,ABZ2,,,,,Abundance Low,,,,,Abundance Low
YMR291W,,474,30.16309798,20.155,3.370993079,,619.5,38.46203768,14.41,0.73944551,
YMR292W,GOT1,270.5,25.02097285,19.445,0.651928534,,118,22.98895481,,,
YMR293C,,,,,,Abundance Low,,,,,Abundance Low
YMR295C,,784,38.86818606,17.79,2.134427964,,622.3913393,37.04898275,,,
YMR296C,LCB1,586,32.82502545,14.235,-2.072113307,,384,29.67544385,13.24,-1.356552416,
YMR297W,PRC1,,,,,Abundance Low,,,,,Abundance Low
YMR299C,DYN3,,,,,Abundance Low,,,,,Abundance Low
YMR300C,ADE4,416,28.6754188,16.71,-0.466691912,,1190,58.29056635,22.32,9.351443932,
YMR301C,ATM1,74.5,21.55970629,,,,50.2099325,21.80506192,17.49,-1.04166347,
YMR302C,PRP12,,,,,Abundance Low,,,,,Abundance Low
YMR303C,ADH2,51.5,21.41619138,,,,,,,,Abundance Low
YMR304W,UBP15,141,22.77281222,22.44,0.99055306,,189,25.45474727,15.815,0.14753179,
YMR305C,SCW10,46.5,21.35101251,,,,,,,,Abundance Low
YMR307W,GAS1,6241.5,222.3403974,,,,3654,151.9022403,20.07,7.809031442,
