Protein	Gene	ProteinName	EntrezID	ProteinCopy	Label	log2FC	SE	Tvalue	DF	pvalue	adj.pvalue	issue	MissingPercentage	ImputationPercentage
YAL012W	YAL012W	NA	NA	YAL012W	POP1-WT	-0.593403256446651	0.141502052484517	-4.19360176073475	16	0.000687634398674364	0.00747786184477166	NA	0.276041666666667	0.276041666666667
YAL012W	YAL012W	NA	NA	YAL012W	SSY5-WT	0.189255736775391	0.141502052484517	1.33747697261211	16	0.199770206654061	0.37311365149363	NA	0.244791666666667	0.244791666666667
YAL012W	YAL012W	NA	NA	YAL012W	IRA2-WT	-0.146641551300331	0.141502052484517	-1.03632101955819	16	0.315461965098776	0.511572733603362	NA	0.234375	0.234375
YAL012W	YAL012W	NA	NA	YAL012W	RAS21-WT	-0.0638795904169562	0.141502052484517	-0.451439320457532	16	0.657731853975921	0.803610125091203	NA	0.25	0.25
YAL012W	YAL012W	NA	NA	YAL012W	SIT4-WT	0.0621987389953193	0.141502052484517	0.439560684125944	16	0.666134459362852	0.809902242961295	NA	0.244791666666667	0.244791666666667
YAL012W	YAL012W	NA	NA	YAL012W	SAP155-WT	-0.427939673021045	0.141502052484517	-3.02426477572027	16	0.00806075190990541	0.0239799263504366	NA	0.244791666666667	0.244791666666667
YAL013W	YAL013W	NA	NA	YAL013W	POP1-WT	Inf	NA	NA	NA	NA	0	oneConditionMissing	0.958333333333333	0.0416666666666667
YAL013W	YAL013W	NA	NA	YAL013W	RAS22-WT	NA	NA	NA	NA	NA	NA	completeMissing	1	0
YAL013W	YAL013W	NA	NA	YAL013W	SIT4-WT	Inf	NA	NA	NA	NA	0	oneConditionMissing	0.916666666666667	0.0833333333333333
YAL013W	YAL013W	NA	NA	YAL013W	RAS21-WT	Inf	NA	NA	NA	NA	0	oneConditionMissing	0.958333333333333	0.0416666666666667
YAL013W	YAL013W	NA	NA	YAL013W	IRA2-WT	NA	NA	NA	NA	NA	NA	completeMissing	1	0
YAL013W	YAL013W	NA	NA	YAL013W	SAP155-WT	NA	NA	NA	NA	NA	NA	completeMissing	1	0
YAL013W	YAL013W	NA	NA	YAL013W	SSY5-WT	NA	NA	NA	NA	NA	NA	completeMissing	1	0
YAL014C	YAL014C	NA	NA	YAL014C	RAS21-WT	Inf	NA	NA	NA	NA	0	oneConditionMissing	0.833333333333333	0
YAL014C	YAL014C	NA	NA	YAL014C	SIT4-WT	Inf	NA	NA	NA	NA	0	oneConditionMissing	0.666666666666667	0
YAL014C	YAL014C	NA	NA	YAL014C	RAS22-WT	NA	NA	NA	NA	NA	NA	completeMissing	1	0
YAL014C	YAL014C	NA	NA	YAL014C	POP1-WT	NA	NA	NA	NA	NA	NA	completeMissing	1	0
YAL014C	YAL014C	NA	NA	YAL014C	IRA2-WT	Inf	NA	NA	NA	NA	0	oneConditionMissing	0.833333333333333	0
YAL014C	YAL014C	NA	NA	YAL014C	SAP155-WT	Inf	NA	NA	NA	NA	0	oneConditionMissing	0.833333333333333	0
YAL014C	YAL014C	NA	NA	YAL014C	SSY5-WT	Inf	NA	NA	NA	NA	0	oneConditionMissing	0.833333333333333	0
YAL016W	YAL016W	NA	NA	YAL016W	SIT4-WT	-0.268961768994677	0.271051159367221	-0.99229152763109	15	0.336793540755058	0.536267826695822	NA	0.75	0.479166666666667
YAL016W	YAL016W	NA	NA	YAL016W	RAS22-WT	-1.10876585153106	0.242435527090094	-4.5734462470883	15	0.000365754963987941	0.00324526754266332	NA	0.75	0.625
YAL016W	YAL016W	NA	NA	YAL016W	IRA2-WT	-0.293878249009264	0.242435527090094	-1.21219135056907	15	0.244187550231253	0.436176883282765	NA	0.708333333333333	0.583333333333333
YAL016W	YAL016W	NA	NA	YAL016W	POP1-WT	-0.4074566154655	0.242435527090094	-1.68068030439318	15	0.113523999095434	0.251859220116276	NA	0.708333333333333	0.583333333333333
YAL016W	YAL016W	NA	NA	YAL016W	SAP155-WT	-0.985942514078387	0.242435527090094	-4.06682356300029	15	0.0010121309458766	0.00454706411930063	NA	0.729166666666667	0.604166666666667
YAL016W	YAL016W	NA	NA	YAL016W	RAS21-WT	0.0600118919671962	0.242435527090094	0.24753753167907	15	0.807848581798333	0.902319091808543	NA	0.6875	0.5625
YAL016W	YAL016W	NA	NA	YAL016W	SSY5-WT	0.269093725114549	0.242435527090094	1.10995994829812	15	0.284493902805706	0.464115543400681	NA	0.625	0.5
YAL017W	YAL017W	NA	NA	YAL017W	RAS22-WT	1.10386340300663	0.499358002805733	2.21056515927326	12	0.0472324560290254	0.126439975574502	NA	0.666666666666667	0.333333333333333
YAL017W	YAL017W	NA	NA	YAL017W	IRA2-WT	0.0547144273158388	0.558299219691075	0.0980019770511485	12	0.923548666528025	0.96425277977252	NA	0.805555555555556	0.361111111111111
YAL017W	YAL017W	NA	NA	YAL017W	POP1-WT	0.461530104666505	0.499358002805733	0.924246937214012	12	0.373569937644686	0.550395992252567	NA	0.638888888888889	0.305555555555556
YAL017W	YAL017W	NA	NA	YAL017W	SIT4-WT	1.01210688067939	0.499358002805733	2.02681618196302	12	0.0654945641006168	0.177203565178222	NA	0.666666666666667	0.333333333333333
YAL017W	YAL017W	NA	NA	YAL017W	SAP155-WT	0.184017126995706	0.558299219691075	0.329603052459089	12	0.747382052881804	0.829395051338531	NA	0.805555555555556	0.361111111111111
