geneSys	gene	log2FC_IRA2	log2FC_RAS21	log2FC_RAS22	log2FC_POP1	log2FC_SIT4	log2FC_SSY5	adj.p_IRA2	adj.p_RAS21	adj.p_RAS22	adj.p_POP1	adj.p_SIT4	adj.p_SSY5	log2FC.i_IRA2	log2FC.i_RAS21	log2FC.i_RAS22	log2FC.i_POP1	log2FC.i_SIT4	log2FC.i_SSY5	adj.p.i_IRA2	adj.p.i_RAS21	adj.p.i_RAS22	adj.p.i_POP1	adj.p.i_SIT4	adj.p.i_SSY5
YKL211C	TRP3	-0.791741487316093	-0.0980860210121113	-0.732698910131574	0.904223147750131	-0.22872057173817	1.20038626240761	0.0306694459669721	0.826453786114949	0.0366506632343195	0.0159322867847359	0.564439591320757	0.00221670713710723	-0.791741487316093	-0.0980860210121113	-0.732698910131574	0.904223147750131	-0.22872057173817	1.20038626240761	0.0306694459669721	0.826453786114949	0.0366506632343195	0.0159322867847359	0.564439591320757	0.00221670713710723
YKL212W	SAC1	-0.396667645725135	-0.0817944141480235	-0.567843056113708	-0.776332781715038	-0.0434886694209203	0.327829733090244	0.192529023350724	0.8258339171574	0.0491610295209989	0.0131785655885922	0.913878710957801	0.274760792946428	-0.396667645725135	-0.0817944141480235	-0.567843056113708	-0.776332781715038	-0.0434886694209203	0.327829733090244	0.192529023350724	0.8258339171574	0.0491610295209989	0.0131785655885922	0.913878710957801	0.274760792946428
YKL213C	DOA1	-1.04823127838576	-0.625584286206346	-0.443048527633003	-0.953057387584633	-0.178630296672244	-0.945547527721018	0.0269545338472933	0.187386277024753	0.329905921573511	0.040856321086847	0.746110662995053	0.0396142663750092	-1.04823127838576	-0.625584286206346	-0.443048527633003	-0.953057387584633	-0.178630296672244	-0.945547527721018	0.0269545338472933	0.187386277024753	0.329905921573511	0.040856321086847	0.746110662995053	0.0396142663750092
YKL214C	YRA2	-0.868100067110594	-0.86512881818168	-1.45967392224226	-0.609891352383476	-0.36923604213503	-0.264005657040042	0.27668003590899	0.289168866730151	0.0343381067443285	0.391634905239588	0.642203376826033	0.729064999582473	-0.868100067110594	-0.86512881818168	-1.45967392224226	-0.609891352383476	-0.36923604213503	-0.264005657040042	0.27668003590899	0.289168866730151	0.0343381067443285	0.391634905239588	0.642203376826033	0.729064999582473
YKL215C	OXP1	-0.666106026324948	-0.187444733248007	0.0895256166001964	-0.103808222679922	-0.260262905294667	0.394591401195679	0.15603956896142	0.726709347709694	0.864959326142574	0.854427940197312	0.616040356590683	0.403193702105737	-0.666106026324948	-0.187444733248007	0.0895256166001964	-0.103808222679922	-0.260262905294667	0.394591401195679	0.15603956896142	0.726709347709694	0.864959326142574	0.854427940197312	0.616040356590683	0.403193702105737
YKL216W	URA1	-0.106978802086536	-1.37732718207312	-1.93935841668372	-1.46940073187722	-1.88042124159542	-2.59744616502943	0.622427891718328	9.43884412762941e-6	5.31517470037102e-8	1.35972672664155e-6	3.65174659104165e-8	1.62900093414464e-9	-0.106978802086536	-1.37732718207312	-1.93935841668372	-1.46940073187722	-1.88042124159542	-2.59744616502943	0.622427891718328	9.43884412762941e-6	5.31517470037102e-8	1.35972672664155e-6	3.65174659104165e-8	1.62900093414464e-9
YKR001C	VPS1	-0.427321626126042	-0.264993303333998	-0.626616463419195	-0.3340073738815	0.0426411212564388	0.105770188568657	0.054396377452121	0.246078273882607	0.00559935420718978	0.124646095675792	0.879970843210514	0.649449258784789	-0.427321626126042	-0.264993303333998	-0.626616463419195	-0.3340073738815	0.0426411212564388	0.105770188568657	0.054396377452121	0.246078273882607	0.00559935420718978	0.124646095675792	0.879970843210514	0.649449258784789
YKR002W	PAP1	-Inf	-0.167010493214629	-0.0923013452406479	-0.66180482184392	-0.377602526855016	0.00899380403129324	NA	0.857647134151697	0.938365850472891	0.52667596320026	0.748805470906022	0.990424822937579	-7.65147887528041	-0.167010493214629	-0.0923013452406479	-0.66180482184392	-0.377602526855016	0.00899380403129324	0.0170325	0.857647134151697	0.938365850472891	0.52667596320026	0.748805470906022	0.990424822937579
YKR003W	OSH6	-0.986507104831071	-0.57991828019594	-0.967099565034838	-0.915272602511424	-0.869121539874295	-0.0793113165047856	0.195810927108429	0.47058294818589	0.179056135941637	0.21677671313648	0.249892406227307	0.926902170119537	-0.986507104831071	-0.57991828019594	-0.967099565034838	-0.915272602511424	-0.869121539874295	-0.0793113165047856	0.195810927108429	0.47058294818589	0.179056135941637	0.21677671313648	0.249892406227307	0.926902170119537
YKR006C	MRPL13	-1.52903282228137	-0.809411406046263	-0.625632770661913	-1.91630694809112	0.301864624174884	-1.53620626300597	0.00729515815404444	0.140126646237608	0.231377749725436	0.00182373346349219	0.61939690279174	0.00610794803827642	-1.52903282228137	-0.809411406046263	-0.625632770661913	-1.91630694809112	0.301864624174884	-1.53620626300597	0.00729515815404444	0.140126646237608	0.231377749725436	0.00182373346349219	0.61939690279174	0.00610794803827642
