RUN	Protein	LogIntensities	NumMeasuredFeature	MissingPercentage	more50missing	NumImputedFeature	originalRUN	GROUP	GROUP_ORIGINAL	SUBJECT_ORIGINAL	SUBJECT_NESTED	SUBJECT
5	YAL013W	25.6413589833268	1	0.5	TRUE	1	17	2	POP1	POP1-2	2.17	17
8	YAL013W	26.2228786037171	1	0.5	TRUE	1	8	3	RAS21	RAS21-2	3.8	8
16	YAL013W	25.614920945384	1	0.5	TRUE	1	19	6	SIT4	SIT4-1	6.19	19
17	YAL013W	26.1235718400178	1	0.5	TRUE	1	20	6	SIT4	SIT4-2	6.20	20
2	YAL014C	26.3391643318298	1	0	FALSE	0	5	1	IRA2	IRA2-2	1.5	5
9	YAL014C	25.7852774819021	1	0	FALSE	0	9	3	RAS21	RAS21-3	3.9	9
14	YAL014C	24.95208404513	1	0	FALSE	0	23	5	SAP155	SAP155-2	5.23	23
17	YAL014C	26.8174442798985	1	0	FALSE	0	20	6	SIT4	SIT4-2	6.20	20
18	YAL014C	25.9377871337155	1	0	FALSE	0	21	6	SIT4	SIT4-3	6.21	21
20	YAL014C	25.0635104768763	1	0	FALSE	0	14	7	SSY5	SSY5-2	7.14	14
1	YAL016W	24.0478285153295	1	0.857142857142857	TRUE	6	4	1	IRA2	IRA2-1	1.4	4
2	YAL016W	25.0045501479183	3	0.571428571428571	TRUE	4	5	1	IRA2	IRA2-2	1.5	5
3	YAL016W	24.7293313302559	2	0.714285714285714	TRUE	5	6	1	IRA2	IRA2-3	1.6	6
4	YAL016W	24.4611920678099	2	0.714285714285714	TRUE	5	16	2	POP1	POP1-1	2.16	16
5	YAL016W	24.3959683822387	2	0.714285714285714	TRUE	5	17	2	POP1	POP1-2	2.17	17
6	YAL016W	24.5838144440863	2	0.714285714285714	TRUE	5	18	2	POP1	POP1-3	2.18	18
7	YAL016W	24.5923496278542	2	0.714285714285714	TRUE	5	7	3	RAS21	RAS21-1	3.7	7
8	YAL016W	25.1825947776214	3	0.571428571428571	TRUE	4	8	3	RAS21	RAS21-2	3.8	8
9	YAL016W	25.0684360109575	2	0.714285714285714	TRUE	5	9	3	RAS21	RAS21-3	3.9	9
10	YAL016W	23.6277460084931	1	0.857142857142857	TRUE	6	10	4	RAS22	RAS22-1	4.10	10
11	YAL016W	23.6261107953904	1	0.857142857142857	TRUE	6	11	4	RAS22	RAS22-2	4.11	11
12	YAL016W	24.0831903820548	2	0.714285714285714	TRUE	5	12	4	RAS22	RAS22-3	4.12	12
13	YAL016W	23.4974130561251	1	0.857142857142857	TRUE	6	22	5	SAP155	SAP155-1	5.22	22
14	YAL016W	24.1702262553208	2	0.714285714285714	TRUE	5	23	5	SAP155	SAP155-2	5.23	23
15	YAL016W	24.0378778868504	2	0.714285714285714	TRUE	5	24	5	SAP155	SAP155-3	5.24	24
16	YAL016W	24.6721945340223	2	0.714285714285714	TRUE	5	19	6	SIT4	SIT4-1	6.19	19
17	YAL016W	24.5654450883426	2	0.714285714285714	TRUE	5	20	6	SIT4	SIT4-2	6.20	20
19	YAL016W	25.1964786101029	3	0.571428571428571	TRUE	4	13	7	SSY5	SSY5-1	7.13	13
20	YAL016W	25.3272482719321	4	0.428571428571429	FALSE	3	14	7	SSY5	SSY5-2	7.14	14
21	YAL016W	24.9468990338401	3	0.571428571428571	TRUE	4	15	7	SSY5	SSY5-3	7.15	15
22	YAL016W	24.6918924096674	2	0.714285714285714	TRUE	5	1	8	WT	WT-1	8.1	1
23	YAL016W	24.7709893002994	3	0.571428571428571	TRUE	4	2	8	WT	WT-2	8.2	2
24	YAL016W	25.2004630305646	3	0.571428571428571	TRUE	4	3	8	WT	WT-3	8.3	3
1	YAL017W	24.3593112674226	2	0.5	TRUE	2	4	1	IRA2	IRA2-1	1.4	4
3	YAL017W	22.9271807775402	1	0.75	TRUE	3	6	1	IRA2	IRA2-3	1.6	6
4	YAL017W	24.3685278869106	4	0	FALSE	0	16	2	POP1	POP1-1	2.16	16
5	YAL017W	23.688704456498	2	0.5	TRUE	2	17	2	POP1	POP1-2	2.17	17
6	YAL017W	24.0929527560876	3	0.25	FALSE	1	18	2	POP1	POP1-3	2.18	18
7	YAL017W	24.8009910760737	3	0.25	FALSE	1	7	3	RAS21	RAS21-1	3.7	7
8	YAL017W	23.7767778896715	2	0.5	TRUE	2	8	3	RAS21	RAS21-2	3.8	8
9	YAL017W	24.840639845371	2	0.5	TRUE	2	9	3	RAS21	RAS21-3	3.9	9
10	YAL017W	24.8574369025438	3	0.25	FALSE	1	10	4	RAS22	RAS22-1	4.10	10
11	YAL017W	25.122401354035	3	0.25	FALSE	1	11	4	RAS22	RAS22-2	4.11	11
12	YAL017W	24.0973467379378	2	0.5	TRUE	2	12	4	RAS22	RAS22-3	4.12	12
13	YAL017W	24.4348497118043	2	0.5	TRUE	2	22	5	SAP155	SAP155-1	5.22	22
15	YAL017W	23.1102477325182	1	0.75	TRUE	3	24	5	SAP155	SAP155-3	5.24	24
16	YAL017W	24.7246757139857	3	0.25	FALSE	1	19	6	SIT4	SIT4-1	6.19	19
17	YAL017W	24.0402312448604	2	0.5	TRUE	2	20	6	SIT4	SIT4-2	6.20	20
18	YAL017W	25.0370084686888	3	0.25	FALSE	1	21	6	SIT4	SIT4-3	6.21	21
20	YAL017W	24.2410305112336	2	0.5	TRUE	2	14	7	SSY5	SSY5-2	7.14	14
22	YAL017W	23.9772870917934	2	0.5	TRUE	2	1	8	WT	WT-1	8.1	1
23	YAL017W	23.7888577984456	1	0.75	TRUE	3	2	8	WT	WT-2	8.2	2
24	YAL017W	22.9994498952577	1	0.75	TRUE	3	3	8	WT	WT-3	8.3	3
2	YAL019W	23.1186447630219	2	0.714285714285714	TRUE	5	5	1	IRA2	IRA2-2	1.5	5
3	YAL019W	21.9889700841289	1	0.857142857142857	TRUE	6	6	1	IRA2	IRA2-3	1.6	6
6	YAL019W	22.2899603321764	1	0.857142857142857	TRUE	6	18	2	POP1	POP1-3	2.18	18
7	YAL019W	22.276749356304	1	0.857142857142857	TRUE	6	7	3	RAS21	RAS21-1	3.7	7
8	YAL019W	22.2661306642081	1	0.857142857142857	TRUE	6	8	3	RAS21	RAS21-2	3.8	8
9	YAL019W	22.2189967561911	1	0.857142857142857	TRUE	6	9	3	RAS21	RAS21-3	3.9	9
10	YAL019W	22.4278607872114	1	0.857142857142857	TRUE	6	10	4	RAS22	RAS22-1	4.10	10
12	YAL019W	21.9926917931873	1	0.857142857142857	TRUE	6	12	4	RAS22	RAS22-3	4.12	12
15	YAL019W	21.7083366790559	1	0.857142857142857	TRUE	6	24	5	SAP155	SAP155-3	5.24	24
16	YAL019W	21.994922083913	1	0.857142857142857	TRUE	6	19	6	SIT4	SIT4-1	6.19	19
17	YAL019W	22.0364433754511	1	0.857142857142857	TRUE	6	20	6	SIT4	SIT4-2	6.20	20
18	YAL019W	22.032144064331	1	0.857142857142857	TRUE	6	21	6	SIT4	SIT4-3	6.21	21
20	YAL019W	23.1334549678865	2	0.714285714285714	TRUE	5	14	7	SSY5	SSY5-2	7.14	14
22	YAL019W	22.6624012923299	1	0.857142857142857	TRUE	6	1	8	WT	WT-1	8.1	1
23	YAL019W	24.4529483345402	5	0.285714285714286	FALSE	2	2	8	WT	WT-2	8.2	2
24	YAL019W	22.9460881145709	2	0.714285714285714	TRUE	5	3	8	WT	WT-3	8.3	3
1	YAL021C	24.1170968092064	2	0.8	TRUE	8	4	1	IRA2	IRA2-1	1.4	4
2	YAL021C	24.0847375066878	2	0.8	TRUE	8	5	1	IRA2	IRA2-2	1.5	5
3	YAL021C	24.130767744397	2	0.8	TRUE	8	6	1	IRA2	IRA2-3	1.6	6
5	YAL021C	23.503774277627	1	0.9	TRUE	9	17	2	POP1	POP1-2	2.17	17
6	YAL021C	23.1947413763479	1	0.9	TRUE	9	18	2	POP1	POP1-3	2.18	18
7	YAL021C	23.5226188059381	1	0.9	TRUE	9	7	3	RAS21	RAS21-1	3.7	7
8	YAL021C	24.3136469521887	2	0.8	TRUE	8	8	3	RAS21	RAS21-2	3.8	8
9	YAL021C	24.6417043466449	3	0.7	TRUE	7	9	3	RAS21	RAS21-3	3.9	9
10	YAL021C	23.0512132251943	1	0.9	TRUE	9	10	4	RAS22	RAS22-1	4.10	10
15	YAL021C	23.5586161228007	1	0.9	TRUE	9	24	5	SAP155	SAP155-3	5.24	24
17	YAL021C	24.3843501470114	3	0.7	TRUE	7	20	6	SIT4	SIT4-2	6.20	20
18	YAL021C	24.0161430741562	2	0.8	TRUE	8	21	6	SIT4	SIT4-3	6.21	21
19	YAL021C	24.8859378277467	4	0.6	TRUE	6	13	7	SSY5	SSY5-1	7.13	13
20	YAL021C	24.0736924944787	2	0.8	TRUE	8	14	7	SSY5	SSY5-2	7.14	14
21	YAL021C	23.8982087643359	1	0.9	TRUE	9	15	7	SSY5	SSY5-3	7.15	15
22	YAL021C	24.1415385757908	2	0.8	TRUE	8	1	8	WT	WT-1	8.1	1
23	YAL021C	24.5648412621025	3	0.7	TRUE	7	2	8	WT	WT-2	8.2	2
24	YAL021C	24.0555751673987	2	0.8	TRUE	8	3	8	WT	WT-3	8.3	3
1	YAL023C	24.2317656269851	5	0.666666666666667	TRUE	10	4	1	IRA2	IRA2-1	1.4	4
2	YAL023C	23.9789018690551	3	0.8	TRUE	12	5	1	IRA2	IRA2-2	1.5	5
3	YAL023C	24.9123290881337	7	0.533333333333333	TRUE	8	6	1	IRA2	IRA2-3	1.6	6
4	YAL023C	24.3948166125166	5	0.666666666666667	TRUE	10	16	2	POP1	POP1-1	2.16	16
5	YAL023C	23.7457655005097	3	0.8	TRUE	12	17	2	POP1	POP1-2	2.17	17
6	YAL023C	23.6551799219873	2	0.866666666666667	TRUE	13	18	2	POP1	POP1-3	2.18	18
7	YAL023C	25.5421324420131	10	0.333333333333333	FALSE	5	7	3	RAS21	RAS21-1	3.7	7
8	YAL023C	24.1910159310963	4	0.733333333333333	TRUE	11	8	3	RAS21	RAS21-2	3.8	8
9	YAL023C	25.1259392144762	8	0.466666666666667	FALSE	7	9	3	RAS21	RAS21-3	3.9	9
10	YAL023C	22.7529916754589	1	0.933333333333333	TRUE	14	10	4	RAS22	RAS22-1	4.10	10
11	YAL023C	24.1761491961296	5	0.666666666666667	TRUE	10	11	4	RAS22	RAS22-2	4.11	11
12	YAL023C	23.7594615282451	3	0.8	TRUE	12	12	4	RAS22	RAS22-3	4.12	12
13	YAL023C	24.2971781384569	5	0.666666666666667	TRUE	10	22	5	SAP155	SAP155-1	5.22	22
14	YAL023C	24.5853724505493	7	0.533333333333333	TRUE	8	23	5	SAP155	SAP155-2	5.23	23
15	YAL023C	24.1771192883653	5	0.666666666666667	TRUE	10	24	5	SAP155	SAP155-3	5.24	24
16	YAL023C	24.820566506138	7	0.533333333333333	TRUE	8	19	6	SIT4	SIT4-1	6.19	19
17	YAL023C	24.2291303580939	4	0.733333333333333	TRUE	11	20	6	SIT4	SIT4-2	6.20	20
