Protein	IRA2_IRA2-1	IRA2_IRA2-2	IRA2_IRA2-3	POP1_POP1-1	POP1_POP1-2	POP1_POP1-3	RAS21_RAS21-1	RAS21_RAS21-2	RAS21_RAS21-3	RAS22_RAS22-1	RAS22_RAS22-2	RAS22_RAS22-3	SAP155_SAP155-1	SAP155_SAP155-2	SAP155_SAP155-3	SIT4_SIT4-1	SIT4_SIT4-2	SIT4_SIT4-3	SSY5_SSY5-1	SSY5_SSY5-2	SSY5_SSY5-3	WT_WT-1	WT_WT-2	WT_WT-3
YKR049C	NA	NA	NA	23.6330628450744	23.7674663413518	23.6797343606249	23.8322586698917	24.0417854733053	24.6461051364517	25.1012336679555	25.599007270493	25.4634669862163	24.4823259374156	23.9802127938117	24.6234763801506	25.321231404615	25.6178417604859	25.8717385665151	23.4170537385475	23.3951638511856	NA	NA	23.619912940012	24.1331310710444
YKR056W	24.1926502167001	23.7070089540803	23.9990636497675	23.0986228545588	22.9695538990266	22.7542797276393	23.5122752117258	24.7228931977179	24.5383160364729	22.7175546842603	24.3214083951102	24.265156242703	22.8994591412638	23.4606360539749	24.434317828353	24.1693934963487	23.6041540513692	23.3557804248656	24.4687915893435	22.717049092807	23.8267937063788	23.3085451027926	22.875971851862	22.7420446786508
YKR057W	31.0774272591823	30.2314607152168	30.8452439671923	30.4122448865229	30.333817308271	30.4585586039042	30.2138266105202	29.5830051973889	30.3995099723008	30.2714099663239	30.5683310168982	30.0224511579709	30.5905467202602	30.0642940187067	29.5939269236701	30.1551988689095	29.9786777459155	29.981643869158	29.9501664561276	30.4047210618806	30.1314474936767	31.0773235402685	30.79186368701	30.6827056656892
YKR060W	25.7062355796703	26.6133062643726	24.5927048314093	25.3239643334337	24.6248822968111	25.3845440463623	25.754996832262	25.8696612121704	25.3004943202107	24.6408945429869	24.8398016011921	24.3501734020717	23.7806044159099	24.5612597209687	24.460487237939	23.8841267065745	25.187740406995	25.3211785339312	25.7667668418299	24.0658899564193	25.734129129982	24.3981252845674	25.25916684628	25.1450813861386
YKR062W	22.8408581146716	24.6907505227195	22.1193523362875	23.1449020888726	23.4206360697642	23.3169552062947	22.5507511342314	23.9772472364119	23.0822780161588	22.8491362982821	23.2708788424349	24.0155606471768	23.10053815872	23.5832774078734	23.5320522836676	23.6530880089761	23.7136248070568	23.8293804105604	24.0670337061435	24.0831445013263	24.6219728790534	23.0331506515229	23.1898007424721	24.23762887936
YKR065C	25.9663198833346	25.7687641447116	NA	NA	NA	26.1328263748962	27.3809148244663	25.7647248504704	26.1544623255323	NA	26.3442132243971	26.3123928338719	NA	NA	NA	26.5242066949493	NA	27.7630173046709	26.1318262526209	25.6596756595047	26.2530397567678	25.7469817120783	26.9169584326311	27.4805139746602
YKR066C	25.3040320129383	24.9420389903416	24.925177442359	26.4322643529866	26.2946560212645	26.1417792407366	24.893131083685	24.9300961548745	25.1004269804627	25.8033469043514	26.3417470193661	26.2681189603005	26.8790423406432	26.317021959532	26.8413908951709	26.9628124479557	27.0736082906712	27.2218774636125	25.3795306808833	25.3542387838333	25.4284393523242	25.2933831614296	26.2844242599486	26.0794333501792
YKR067W	24.3427494174321	23.2168421315007	23.1667023254755	22.8875455399096	22.7485913468975	22.8465492246815	NA	24.3956446401565	NA	24.5080865240127	22.2076829360554	23.4316534787047	22.8297941229417	22.6240371836854	NA	25.2128813020184	25.0658354228171	NA	23.5721705941574	24.2502404416679	24.8089689404435	NA	23.352320502295	22.5295566358854
YKR068C	NA	24.4772454894059	24.6257506383617	24.4879630248208	NA	NA	NA	NA	NA	24.485526113328	NA	NA	NA	NA	NA	NA	NA	NA	24.4263410651394	25.2784116587079	24.9772931764607	NA	24.7256756372953	24.6664352453995
YKR069W	NA	NA	NA	NA	NA	23.406429565037	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25.9893426915579	25.7085036042101	25.8224712496018	NA	NA	NA
