Protein	IRA2	POP1	RAS21	RAS22	SAP155	SIT4	SSY5	WT
YOR209C	25.8958277325119	25.2936159789883	26.0115637093902	25.4254667626844	25.4052920342762	26.285812104401	25.8046133737356	26.2556113054906
YOR210W	26.8495596687841	25.8852715522286	25.0282308912017	25.7045738952548	25.42225855813	25.9228394306691	26.0610697132026	26.7963675676217
YOR211C	24.5675103803058	25.1413473778415	NA	25.5040993284319	24.7693282632433	NA	24.8782908309668	26.2302024352872
YOR212W	23.8977526288946	24.3392713995069	24.4130713249972	24.4277518209857	23.9726847976283	24.2691022328336	24.3740415416716	25.7074156293654
YOR215C	23.9204192222536	25.746324715627	24.2345345972329	26.4052633528026	25.6075701404625	26.7234560385744	24.0681766295274	25.2481346749358
YOR216C	24.5275749428273	24.9124390611154	23.9881541013346	24.443614431347	24.0087919076223	24.002043181091	23.6129017157826	25.0199338932938
YOR217W	23.9146199063159	24.1483840697207	23.5314390818572	23.8881383498503	23.0949359571048	24.1663397355793	23.9068519871436	24.5120516799373
YOR220W	24.7852489617831	25.535872233802	25.8906274820992	26.4288751585976	25.9948065704548	26.1364576475003	25.342528006538	26.3215199283956
YOR222W	23.5231484399727	24.0727689754701	24.4555078135352	23.4494172607373	23.500732339163	24.120814683921	25.6218220009056	24.2108346784801
YOR223W	NA	NA	27.5114694379584	NA	NA	25.4676013994818	25.8097276136479	NA
YOR224C	26.5234954123277	26.373933709343	26.9454606209056	26.067155160387	25.4172875518824	26.7909478258722	26.8106857800086	26.6570416422312
YOR226C	24.2137507924537	NA	23.0527156536549	23.2295831592092	24.154076699667	23.1525536650229	24.8660167347158	23.9328721397433
YOR227W	NA	NA	NA	NA	26.4633682364294	27.3665698027963	NA	NA
YOR229W	NA	24.0564997155666	22.7710582892583	23.0003824077691	24.1277086376971	23.60518060351	22.8571423171233	24.210415674585
YOR230W	26.8689743068782	27.8710721395632	27.7297509530885	28.1868155108998	27.8891786540786	28.036697865535	27.8664144604232	28.0135064688433
YOR232W	26.1337697453785	25.9764878038789	26.4357781994868	26.7577551061703	26.5374202160786	27.096751475557	26.1603547461591	26.9565967628581
YOR234C	27.6919337712298	27.6649785337142	27.5843208691519	27.5729083463304	27.1022551127325	27.67558222048	27.3340486621067	27.5436547309231
YOR236W	23.7786381692754	24.1605083258731	24.9293120182095	23.561925155327	24.1757478112128	24.0513486397052	23.7417889531094	24.0701896670193
YOR239W	24.4866248037073	24.1600336694824	24.414430978254	23.7825990680508	23.5516096867694	23.9072409498133	23.9656077058279	25.933380298087
YOR241W	24.3035969700828	24.6763208475782	24.8899736424232	24.7368616154321	23.9147563651126	25.6296419622258	24.6851997819432	24.9964915320618
YOR242C	26.7461072860223	25.9592399080473	25.528726147564	26.51061002087	25.5365587925225	26.3023146442872	26.6788998104345	26.0448332621167
YOR243C	24.8785866581325	23.9144138913608	24.4894910965113	23.9051623357467	23.2980965356247	24.3774469315875	24.1831990021343	24.2399427830713
YOR250C	22.5293933234413	NA	21.907790153609	NA	22.2305912905343	22.6517877128534	21.7060398439014	21.6996844823992
YOR251C	25.6041476926929	25.7086400563804	25.8938482235939	26.1294971990513	25.3779995813506	26.6380824624292	25.0563761208321	26.6496220378495
YOR252W	25.5010937717125	24.1700486199666	23.8381587040005	24.9006571940317	24.0844801932832	24.678905229008	25.3424011691777	25.300808272544
YOR253W	25.1923351264333	25.2456824069536	25.7056355875611	25.0561891536014	24.9385867521092	25.0164016334994	24.4018399426306	25.7955400969065
YOR254C	24.6880635280628	23.7787869764209	24.5875410835561	23.6751748881829	23.5483765166712	24.8168911981268	25.0667603514615	24.6996367854392
YOR257W	25.6883348162978	26.0132065889253	25.5651401928907	25.5321123626204	NA	25.9604067832133	25.737212355128	26.3515002528338
